product_id,product_name,category,image_url,description,base_price_inr,current_bid_inr,bid_start_time_ist,bid_end_time_ist,status,total_bids,condition,seller
PRD019,Noise ColorFit Ultra 3,Watch,https://images.unsplash.com/photo-1617043786394-f977fa12eddf?w=400,Premium quality Noise ColorFit Ultra 3 - ideal for everyday use,"6,13,900","6,13,900",2026-05-14 12:00:00 IST,2026-05-14 19:00:00 IST,UPCOMING,0,Brand New,ArtGallery IN
PRD020,Seiko Presage Cocktail,Watch,https://images.unsplash.com/photo-1594576722512-982b1dc90f2e?w=400,Premium quality Seiko Presage Cocktail - ideal for everyday use,"3,29,500","3,29,500",2026-05-10 10:30:00 IST,2026-05-10 19:30:00 IST,UPCOMING,0,Refurbished,LuxuryDeals
PRD021,Sony WH-1000XM6,Headphone,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400,Premium quality Sony WH-1000XM6 - ideal for everyday use,"69,700","86,102",2026-05-08 13:00:00 IST,2026-05-08 20:45:00 IST,LIVE,19,Brand New,GadgetMart
PRD022,Bose QuietComfort Ultra,Headphone,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=400,Premium quality Bose QuietComfort Ultra - ideal for everyday use,"14,800","18,916",2026-05-08 06:15:00 IST,2026-05-08 19:45:00 IST,LIVE,8,Refurbished,HomeEssentials
PRD023,Apple AirPods Max 2,Headphone,https://images.unsplash.com/photo-1585386959984-a4155224a1ad?w=400,Premium quality Apple AirPods Max 2 - ideal for everyday use,"35,600","38,257",2026-05-08 06:30:00 IST,2026-05-08 15:30:00 IST,LIVE,0,Refurbished,FashionHub
PRD024,JBL Tour One M3,Headphone,https://images.unsplash.com/photo-1612444530582-fc66183b16f8?w=400,Premium quality JBL Tour One M3 - ideal for everyday use,"70,300","96,553",2026-05-03 12:00:00 IST,2026-05-04 15:00:00 IST,ENDED,18,Like New,ArtGallery IN
PRD025,Sennheiser Momentum 4,Headphone,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=400,Premium quality Sennheiser Momentum 4 - ideal for everyday use,"31,800","47,050",2026-05-04 11:00:00 IST,2026-05-05 20:00:00 IST,ENDED,45,Refurbished,TechZone India
PRD026,boAt Nirvana Ion ANC,Headphone,https://images.unsplash.com/photo-1487215078519-e21cc028cb29?w=400,Premium quality boAt Nirvana Ion ANC - ideal for everyday use,"8,100","8,100",2026-05-08 23:30:00 IST,2026-05-09 01:30:00 IST,UPCOMING,0,Like New,LuxuryDeals
PRD027,Jabra Evolve2 85,Headphone,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?w=400,Premium quality Jabra Evolve2 85 - ideal for everyday use,"50,500","50,500",2026-05-09 09:15:00 IST,2026-05-09 16:15:00 IST,UPCOMING,0,Like New,FashionHub
PRD028,OnePlus Buds Pro 3,Headphone,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400,Premium quality OnePlus Buds Pro 3 - ideal for everyday use,"73,600","73,600",2026-05-09 10:45:00 IST,2026-05-09 16:45:00 IST,UPCOMING,0,Brand New,GadgetMart
PRD029,Realme Buds Air 6 Pro,Headphone,https://images.unsplash.com/photo-1606220945770-b5b6c2c55bf1?w=400,Premium quality Realme Buds Air 6 Pro - ideal for everyday use,"53,200","53,200",2026-05-11 12:30:00 IST,2026-05-12 00:30:00 IST,UPCOMING,0,Like New,GadgetMart
PRD030,Skullcandy Crusher ANC 2,Headphone,https://images.unsplash.com/photo-1524678606370-a47ad25cb82a?w=400,Premium quality Skullcandy Crusher ANC 2 - ideal for everyday use,"71,200","71,200",2026-05-14 11:30:00 IST,2026-05-14 20:30:00 IST,UPCOMING,0,Brand New,HomeEssentials
PRD031,Nike Air Max 2026,Shoes,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,Premium quality Nike Air Max 2026 - ideal for everyday use,"8,400","8,864",2026-05-08 09:00:00 IST,2026-05-08 17:45:00 IST,LIVE,2,Like New,QuickBid Store
PRD032,Adidas Ultraboost 25,Shoes,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,Premium quality Adidas Ultraboost 25 - ideal for everyday use,"16,900","21,348",2026-05-08 12:15:00 IST,2026-05-08 15:45:00 IST,LIVE,40,Refurbished,ArtGallery IN
PRD033,Puma RS-X Retro,Shoes,https://images.unsplash.com/photo-1600185365926-3a2ce3cdb9eb?w=400,Premium quality Puma RS-X Retro - ideal for everyday use,"44,600","46,698",2026-05-08 09:15:00 IST,2026-05-08 18:30:00 IST,LIVE,8,Like New,TechZone India
PRD034,Reebok Classic Leather,Shoes,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,Premium quality Reebok Classic Leather - ideal for everyday use,"21,100","29,986",2026-05-03 11:30:00 IST,2026-05-04 18:30:00 IST,ENDED,43,Like New,GadgetMart
PRD035,New Balance 1080v14,Shoes,https://images.unsplash.com/photo-1539185441755-769473a23570?w=400,Premium quality New Balance 1080v14 - ideal for everyday use,"9,700","14,270",2026-05-03 11:30:00 IST,2026-05-04 18:30:00 IST,ENDED,43,Like New,TechZone India
PRD036,Red Tape Oxford Formal,Shoes,https://images.unsplash.com/photo-1614252235316-8c857d38b5f4?w=400,Premium quality Red Tape Oxford Formal - ideal for everyday use,"25,200","25,200",2026-05-08 18:30:00 IST,2026-05-08 20:30:00 IST,UPCOMING,0,Like New,HomeEssentials
PRD037,Bata Power Running Shoes,Shoes,https://images.unsplash.com/photo-1491553895911-0055eca6402d?w=400,Premium quality Bata Power Running Shoes - ideal for everyday use,"14,000","14,000",2026-05-09 09:30:00 IST,2026-05-09 13:30:00 IST,UPCOMING,0,Refurbished,TechZone India
PRD038,Woodland Adventure Boots,Shoes,https://images.unsplash.com/photo-1520639888713-7851133b1ed0?w=400,Premium quality Woodland Adventure Boots - ideal for everyday use,"22,400","22,400",2026-05-09 18:30:00 IST,2026-05-09 22:30:00 IST,UPCOMING,0,Refurbished,ArtGallery IN
PRD039,Under Armour HOVR Sonic,Shoes,https://images.unsplash.com/photo-1556906781-9a412961a28c?w=400,Premium quality Under Armour HOVR Sonic - ideal for everyday use,"37,800","37,800",2026-05-15 15:30:00 IST,2026-05-15 22:30:00 IST,UPCOMING,0,Brand New,ArtGallery IN
PRD040,Sparx Sport Canvas,Shoes,https://images.unsplash.com/photo-1562183241-840b8af0721e?w=400,Premium quality Sparx Sport Canvas - ideal for everyday use,"1,900","1,900",2026-05-11 12:30:00 IST,2026-05-11 20:30:00 IST,UPCOMING,0,Like New,QuickBid Store
PRD041,Madhubani Traditional Art,Painting,https://images.unsplash.com/photo-1579783902614-a3fb3927b6a5?w=400,Premium quality Madhubani Traditional Art - ideal for everyday use,"36,600","38,457",2026-05-08 09:15:00 IST,2026-05-08 18:00:00 IST,LIVE,40,Brand New,GadgetMart
PRD042,Warli Folk Painting Set,Painting,https://images.unsplash.com/photo-1577083552431-6e5fd01aa342?w=400,Premium quality Warli Folk Painting Set - ideal for everyday use,"48,700","59,025",2026-05-08 10:15:00 IST,2026-05-08 18:15:00 IST,LIVE,42,Brand New,GadgetMart
PRD043,Abstract Sunset Canvas,Painting,https://images.unsplash.com/photo-1541961017774-22349e4a1262?w=400,Premium quality Abstract Sunset Canvas - ideal for everyday use,"32,100","32,713",2026-05-08 08:30:00 IST,2026-05-08 21:15:00 IST,LIVE,25,Brand New,QuickBid Store
PRD044,Rajasthani Miniature Art,Painting,https://images.unsplash.com/photo-1513519245088-0e12902e5a38?w=400,Premium quality Rajasthani Miniature Art - ideal for everyday use,"46,200","65,421",2026-05-05 10:30:00 IST,2026-05-06 20:00:00 IST,ENDED,13,Brand New,HomeEssentials
PRD045,Tanjore Gold Leaf Painting,Painting,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Premium quality Tanjore Gold Leaf Painting - ideal for everyday use,"75,600","98,174",2026-05-05 09:30:00 IST,2026-05-06 14:00:00 IST,ENDED,5,Brand New,ArtGallery IN
PRD046,Kerala Mural Wall Art,Painting,https://images.unsplash.com/photo-1501084817091-a4f3d1d19e07?w=400,Premium quality Kerala Mural Wall Art - ideal for everyday use,"49,800","49,800",2026-05-08 20:30:00 IST,2026-05-08 22:30:00 IST,UPCOMING,0,Like New,FashionHub
PRD047,Modern Geometric Canvas,Painting,https://images.unsplash.com/photo-1560421683-6856ea585c78?w=400,Premium quality Modern Geometric Canvas - ideal for everyday use,"96,100","96,100",2026-05-09 08:45:00 IST,2026-05-09 12:45:00 IST,UPCOMING,0,Refurbished,GadgetMart
PRD048,Watercolor Landscape Art,Painting,https://images.unsplash.com/photo-1544967082-d9d25d867d66?w=400,Premium quality Watercolor Landscape Art - ideal for everyday use,"71,700","71,700",2026-05-09 13:45:00 IST,2026-05-09 18:45:00 IST,UPCOMING,0,Brand New,ArtGallery IN
PRD049,Digital Print Cityscape,Painting,https://images.unsplash.com/photo-1547826039-bfc35e0f1ea8?w=400,Premium quality Digital Print Cityscape - ideal for everyday use,"46,200","46,200",2026-05-10 09:30:00 IST,2026-05-10 21:30:00 IST,UPCOMING,0,Brand New,TechZone India
PRD050,Oil on Canvas Florals,Painting,https://images.unsplash.com/photo-1578926375605-eaf7559b1458?w=400,Premium quality Oil on Canvas Florals - ideal for everyday use,"86,200","86,200",2026-05-14 12:00:00 IST,2026-05-14 16:00:00 IST,UPCOMING,0,Brand New,FashionHub
PRD051,Philips Air Fryer HD9200,Kitchen Appliance,https://images.unsplash.com/photo-1648549422484-95b0f0b0c66a?w=400,Premium quality Philips Air Fryer HD9200 - ideal for everyday use,"13,200","15,509",2026-05-08 09:15:00 IST,2026-05-08 20:30:00 IST,LIVE,20,Brand New,GadgetMart
PRD052,Dyson V15 Detect Vacuum,Home Appliance,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=400,Premium quality Dyson V15 Detect Vacuum - ideal for everyday use,"16,500","17,991",2026-05-08 09:45:00 IST,2026-05-08 20:00:00 IST,LIVE,31,Like New,FashionHub
PRD053,Nespresso Vertuo Pop Coffee,Kitchen Appliance,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,Premium quality Nespresso Vertuo Pop Coffee - ideal for everyday use,"5,000","6,119",2026-05-08 12:30:00 IST,2026-05-08 18:45:00 IST,LIVE,24,Brand New,QuickBid Store
PRD054,Prestige Induction Cooktop,Kitchen Appliance,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400,Premium quality Prestige Induction Cooktop - ideal for everyday use,"15,400","17,268",2026-05-02 11:30:00 IST,2026-05-03 15:30:00 IST,ENDED,3,Refurbished,HomeEssentials
PRD055,Usha Table Fan Premium,Home Appliance,https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=400,Premium quality Usha Table Fan Premium - ideal for everyday use,"66,000","73,421",2026-05-03 12:00:00 IST,2026-05-04 15:30:00 IST,ENDED,44,Refurbished,QuickBid Store
PRD056,Milton Steel Lunch Box Set,Daily Use,https://images.unsplash.com/photo-1588854337221-4cf9fa96059c?w=400,Premium quality Milton Steel Lunch Box Set - ideal for everyday use,"4,900","4,900",2026-05-08 20:00:00 IST,2026-05-08 23:00:00 IST,UPCOMING,0,Like New,TechZone India
PRD057,Godrej Refrigerator 350L,Home Appliance,https://images.unsplash.com/photo-1571175443880-49e1d25b2bc5?w=400,Premium quality Godrej Refrigerator 350L - ideal for everyday use,"82,000","82,000",2026-05-09 10:15:00 IST,2026-05-09 16:15:00 IST,UPCOMING,0,Brand New,LuxuryDeals
PRD058,Bajaj Mixer Grinder 750W,Kitchen Appliance,https://images.unsplash.com/photo-1570197788417-0e82375c9371?w=400,Premium quality Bajaj Mixer Grinder 750W - ideal for everyday use,"32,700","32,700",2026-05-09 13:45:00 IST,2026-05-09 16:45:00 IST,UPCOMING,0,Like New,GadgetMart
PRD059,Wildcraft Trekking Backpack,Bag,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400,Premium quality Wildcraft Trekking Backpack - ideal for everyday use,"3,600","3,600",2026-05-13 10:30:00 IST,2026-05-13 16:30:00 IST,UPCOMING,0,Brand New,HomeEssentials
PRD060,Hidesign Leather Wallet,Accessories,https://images.unsplash.com/photo-1627123424574-724758594e93?w=400,Premium quality Hidesign Leather Wallet - ideal for everyday use,"1,100","1,100",2026-05-10 16:30:00 IST,2026-05-11 00:30:00 IST,UPCOMING,0,Like New,FashionHub
PRD061,Lakme Absolute Gift Set,Beauty,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=400,Premium quality Lakme Absolute Gift Set - ideal for everyday use,"6,300","7,042",2026-05-08 12:15:00 IST,2026-05-08 19:45:00 IST,LIVE,38,Like New,ArtGallery IN
PRD062,The Ordinary Skincare Kit,Beauty,https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=400,Premium quality The Ordinary Skincare Kit - ideal for everyday use,"6,700","7,807",2026-05-08 12:30:00 IST,2026-05-08 20:00:00 IST,LIVE,3,Refurbished,TechZone India
PRD063,Fujifilm Instax Mini 12,Camera,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=400,Premium quality Fujifilm Instax Mini 12 - ideal for everyday use,"7,900","9,928",2026-05-08 08:45:00 IST,2026-05-08 22:45:00 IST,LIVE,26,Like New,FashionHub
PRD064,Canon EOS R50 Camera,Camera,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Premium quality Canon EOS R50 Camera - ideal for everyday use,"52,900","70,770",2026-05-06 09:00:00 IST,2026-05-07 19:30:00 IST,ENDED,43,Like New,GadgetMart
PRD065,GoPro Hero 13 Black,Camera,https://images.unsplash.com/photo-1544816155-12df9643f363?w=400,Premium quality GoPro Hero 13 Black - ideal for everyday use,"37,600","46,262",2026-05-03 12:00:00 IST,2026-05-04 17:00:00 IST,ENDED,34,Like New,FashionHub
PRD066,Dell Inspiron 15 Laptop,Laptop,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400,Premium quality Dell Inspiron 15 Laptop - ideal for everyday use,"65,500","65,500",2026-05-08 19:00:00 IST,2026-05-08 21:00:00 IST,UPCOMING,0,Refurbished,LuxuryDeals
PRD067,HP Pavilion Plus 14,Laptop,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=400,Premium quality HP Pavilion Plus 14 - ideal for everyday use,"1,23,500","1,23,500",2026-05-09 10:15:00 IST,2026-05-09 13:15:00 IST,UPCOMING,0,Like New,QuickBid Store
PRD068,Lenovo IdeaPad Slim 5,Laptop,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=400,Premium quality Lenovo IdeaPad Slim 5 - ideal for everyday use,"1,28,500","1,28,500",2026-05-09 11:15:00 IST,2026-05-09 19:15:00 IST,UPCOMING,0,Refurbished,QuickBid Store
PRD069,Apple MacBook Air M3,Laptop,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400,Premium quality Apple MacBook Air M3 - ideal for everyday use,"81,500","81,500",2026-05-15 10:00:00 IST,2026-05-15 17:00:00 IST,UPCOMING,0,Refurbished,LuxuryDeals
PRD070,Acer Aspire 7 Gaming,Laptop,https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=400,Premium quality Acer Aspire 7 Gaming - ideal for everyday use,"1,03,800","1,03,800",2026-05-14 09:00:00 IST,2026-05-14 13:00:00 IST,UPCOMING,0,Refurbished,TechZone India
PRD071,Corsair K95 RGB Keyboard,Computer Peripheral,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400,Premium quality Corsair K95 RGB Keyboard - ideal for everyday use,"14,000","17,084",2026-05-08 11:15:00 IST,2026-05-08 19:45:00 IST,LIVE,24,Refurbished,GadgetMart
PRD072,Logitech MX Master 3S,Computer Peripheral,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400,Premium quality Logitech MX Master 3S - ideal for everyday use,"24,000","29,576",2026-05-08 11:30:00 IST,2026-05-08 19:15:00 IST,LIVE,30,Brand New,ArtGallery IN
PRD073,BenQ 27 inch 4K Monitor,Monitor,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400,Premium quality BenQ 27 inch 4K Monitor - ideal for everyday use,"59,200","63,321",2026-05-08 06:45:00 IST,2026-05-08 21:15:00 IST,LIVE,30,Brand New,GadgetMart
PRD074,Zebronics ZEB-TV32FHD,Television,https://images.unsplash.com/photo-1593784991095-a205069470b6?w=400,Premium quality Zebronics ZEB-TV32FHD - ideal for everyday use,"1,64,800","2,42,766",2026-05-02 12:30:00 IST,2026-05-03 16:30:00 IST,ENDED,20,Refurbished,ArtGallery IN
PRD075,Sony Bravia 55 4K OLED,Television,https://images.unsplash.com/photo-1567690187548-f07b1d7bf5a9?w=400,Premium quality Sony Bravia 55 4K OLED - ideal for everyday use,"75,200","93,707",2026-05-02 09:30:00 IST,2026-05-03 16:30:00 IST,ENDED,37,Brand New,QuickBid Store
PRD076,Yoga Mat Premium Non-Slip,Fitness,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=400,Premium quality Yoga Mat Premium Non-Slip - ideal for everyday use,"29,400","29,400",2026-05-08 18:00:00 IST,2026-05-08 20:00:00 IST,UPCOMING,0,Like New,QuickBid Store
PRD077,Fitbit Charge 6 Band,Fitness,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=400,Premium quality Fitbit Charge 6 Band - ideal for everyday use,"13,800","13,800",2026-05-09 10:45:00 IST,2026-05-09 13:45:00 IST,UPCOMING,0,Like New,HomeEssentials
PRD078,Dumbbell Set 20kg Pair,Fitness,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=400,Premium quality Dumbbell Set 20kg Pair - ideal for everyday use,"33,400","33,400",2026-05-09 13:00:00 IST,2026-05-09 20:00:00 IST,UPCOMING,0,Like New,TechZone India
PRD079,Crossfit Resistance Bands,Fitness,https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=400,Premium quality Crossfit Resistance Bands - ideal for everyday use,"33,800","33,800",2026-05-10 18:00:00 IST,2026-05-10 22:00:00 IST,UPCOMING,0,Refurbished,LuxuryDeals
PRD080,Omron BP Monitor HEM7120,Health,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,Premium quality Omron BP Monitor HEM7120 - ideal for everyday use,"2,700","2,700",2026-05-13 17:30:00 IST,2026-05-14 01:30:00 IST,UPCOMING,0,Refurbished,HomeEssentials
PRD081,Philips Electric Shaver,Personal Care,https://images.unsplash.com/photo-1621607512022-6aecc4fed814?w=400,Premium quality Philips Electric Shaver - ideal for everyday use,"9,000","11,336",2026-05-08 12:00:00 IST,2026-05-08 18:00:00 IST,LIVE,31,Brand New,GadgetMart
PRD082,Braun Silk Epil 9 Flex,Personal Care,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=400,Premium quality Braun Silk Epil 9 Flex - ideal for everyday use,"10,700","13,443",2026-05-08 11:15:00 IST,2026-05-08 18:30:00 IST,LIVE,27,Refurbished,QuickBid Store
PRD083,Havells Hair Dryer 2200W,Personal Care,https://images.unsplash.com/photo-1580618672591-eb180b1a973f?w=400,Premium quality Havells Hair Dryer 2200W - ideal for everyday use,"4,200","4,597",2026-05-08 08:30:00 IST,2026-05-08 20:15:00 IST,LIVE,34,Like New,HomeEssentials
PRD084,Bombay Dyeing Bedsheet Set,Home Decor,https://images.unsplash.com/photo-1631049307264-da0ec9d70304?w=400,Premium quality Bombay Dyeing Bedsheet Set - ideal for everyday use,"4,300","5,777",2026-05-02 11:00:00 IST,2026-05-03 18:30:00 IST,ENDED,44,Like New,GadgetMart
PRD085,Ikea Poang Armchair,Furniture,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400,Premium quality Ikea Poang Armchair - ideal for everyday use,"13,200","15,769",2026-05-06 12:00:00 IST,2026-05-07 14:00:00 IST,ENDED,35,Refurbished,HomeEssentials
PRD086,Godrej Interio Study Table,Furniture,https://images.unsplash.com/photo-1518455027359-f3f8164ba6bd?w=400,Premium quality Godrej Interio Study Table - ideal for everyday use,"42,200","42,200",2026-05-08 21:00:00 IST,2026-05-09 00:00:00 IST,UPCOMING,0,Like New,ArtGallery IN
PRD087,Philips Smart LED Bulb 9W,Lighting,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Premium quality Philips Smart LED Bulb 9W - ideal for everyday use,"3,600","3,600",2026-05-09 10:00:00 IST,2026-05-09 14:00:00 IST,UPCOMING,0,Brand New,HomeEssentials
PRD088,Starbucks Tumbler 500ml,Daily Use,https://images.unsplash.com/photo-1572119865084-43c285814d63?w=400,Premium quality Starbucks Tumbler 500ml - ideal for everyday use,"2,100","2,100",2026-05-09 11:15:00 IST,2026-05-09 14:15:00 IST,UPCOMING,0,Brand New,ArtGallery IN
PRD089,Borosil Glass Lunch Box,Daily Use,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400,Premium quality Borosil Glass Lunch Box - ideal for everyday use,"2,500","2,500",2026-05-10 12:30:00 IST,2026-05-10 16:30:00 IST,UPCOMING,0,Refurbished,ArtGallery IN
PRD090,Kurkure Family Pack Gift Box,Food & Snacks,https://images.unsplash.com/photo-1621939514649-280e2ee25f60?w=400,Premium quality Kurkure Family Pack Gift Box - ideal for everyday use,200,200,2026-05-13 14:00:00 IST,2026-05-13 20:00:00 IST,UPCOMING,0,Brand New,HomeEssentials
PRD091,Titan Skylum Smart Ring,Accessories,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=400,Premium quality Titan Skylum Smart Ring - ideal for everyday use,"4,000","4,403",2026-05-08 07:00:00 IST,2026-05-08 19:00:00 IST,LIVE,18,Like New,HomeEssentials
PRD092,Bosch Hand Blender,Kitchen Appliance,https://images.unsplash.com/photo-1517487881594-2787fef5ebf7?w=400,Premium quality Bosch Hand Blender - ideal for everyday use,"31,700","35,850",2026-05-08 08:30:00 IST,2026-05-08 21:30:00 IST,LIVE,27,Brand New,LuxuryDeals
PRD093,Noise Buds Connect 2,Headphone,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400,Premium quality Noise Buds Connect 2 - ideal for everyday use,"48,700","58,112",2026-05-08 09:30:00 IST,2026-05-08 17:30:00 IST,LIVE,25,Refurbished,GadgetMart
PRD094,Adidas Originals Track Jacket,Clothing,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,Premium quality Adidas Originals Track Jacket - ideal for everyday use,"6,000","6,000",2026-05-10 09:30:00 IST,2026-05-10 13:30:00 IST,UPCOMING,0,Brand New,FashionHub
